"","Article_day","Article_Total","Date","Article_Num","website","link","headline","daily.article.number","total.article.number","Month","Day","Pariticipant_1_Eval","Pariticipant_2_Eval","Pariticipant_3_Eval","Pariticipant_4_Eval","Pariticipant_5_Eval","Pariticipant_6_Eval","Pariticipant_1_Likert_Eval","Pariticipant_2_Likert_Eval","Pariticipant_3_Likert_Eval","Pariticipant_4_Likert_Eval","Pariticipant_5_Likert_Eval","Pariticipant_6_Likert_Eval"
"1","dec 10_1",56,"10-Dec","rss_con","teaparty.org","https://www.teaparty.org/breaking-ukrainian-official-reveals-six-criminal-cases-opened-in-ukraine-involving-the-bidens-420208/","Breaking: Ukrainian Official Reveals Six Criminal Cases Opened In Ukraine Involving The Bidens",1,56,"dec","10","Misl/False","Misl/False","CND","Misl/False","Misl/False","CND","2","3","1","3","2","3"
"2","dec 10_2",57,"10-Dec","rss_lib","palmer report","https://www.palmerreport.com/analysis/nancy-pelosi-knows-something-we-dont/23491/","Nancy Pelosi knows something we don’t",2,57,"dec","10","Misl/False","True","Misl/False","CND","Misl/False","CND","2","5","3","4","4","2"
"3","dec 10_3",58,"10-Dec","rss_unclear","stillnessinthestorm","https://stillnessinthestorm.com/2019/12/stressed-to-the-max-deep-sleep-can-rewire-the-anxious-brain/","Stressed to the Max? Deep Sleep Can Rewire the Anxious Brain",3,58,"dec","10","True","True","True","True","True","CND","7","6","6","5","5","6"
"4","dec 10_4",59,"10-Dec","ct_con","townhall","https://townhall.com/tipsheet/juliorosas/2019/12/09/joe-biden-claims-no-one-told-him-about-potential-conflict-of-interest-with-hunters-job-at-burisma-n2557688/?utm_content=buffer644e4&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer","Joe Biden Claims No One Told Him About Potential Conflict of Interest With Hunter's Job at Burisma",4,59,"dec","10","True","True","True","True","True","True","7","6","6","5","7","7"
"5","dec 10_5",60,"10-Dec","ct_lib","washington post","https://www.washingtonpost.com/sports/2019/12/09/megan-rapinoe-is-sports-illustrateds-sportsperson-year-only-fourth-woman-chosen-alone/?tid=sm_fb","Megan Rapinoe is Sports Illustrated’s Sportsperson of the Year, only the fourth woman chosen alone",5,60,"dec","10","True","True","True","True","True","True","7","7","7","6","7","7"
"6","dec 11_1",61,"11-Dec","rss_con","clashdaily","https://clashdaily.com/2019/12/ukraine-advisor-disputes-key-point-in-impeachment-testimony-is-this-bad-news-for-democrats/","Ukraine Advisor Disputes Key Point In Impeachment Testimony — Is This Bad News For Democrats?",1,61,"dec","11","Misl/False","Misl/False","Misl/False","Misl/False","Misl/False","True","3","2","3","4","5","6"
"7","dec 11_2",62,"11-Dec","rss_lib","crooksandliars","https://crooksandliars.com/2019/12/tucker-carlsons-white-power-hour-guest","Tucker Carlson's White Power Hour Guest: AOC's District Is The 'Least American'",2,62,"dec","11","True","True","True","True","True","Misl/False","7","4","6","5","6","2"
"8","dec 11_3",63,"11-Dec","rss_unclear","themindunleashed","https://themindunleashed.com/2019/12/since-feeding-the-homeless-is-illegal-activists-carry-ar-15s-to-give-out-food-supplies.html","Since Feeding the Homeless is Illegal, Activists Carry AR-15s to Give Out Food, Supplies",3,63,"dec","11","Misl/False","Misl/False","True","CND","CND","Misl/False","2","5","4","3","4","5"
"9","dec 11_4",64,"11-Dec","ct_con","cnbc","https://www.cnbc.com/2019/12/10/house-democrats-announce-articles-of-impeachment-against-trump.html?__source=facebook%7Cmain","House Democrats announce articles of impeachment against Trump: Abuse of power, obstruction of Congress",4,64,"dec","11","True","True","True","True","True","True","7","7","7","5","7","7"
"10","dec 11_5",65,"11-Dec","ct_lib","huffington post","https://www.huffpost.com/entry/art-acevedo-ted-cruz-mitch-mcconnell-nra-gun-victims_n_5def2944e4b05d1e8a56fa2f?section=politics&utm_campaign=hp_fb_pages&utm_source=main_fb&utm_medium=facebook&ncid=fcbklnkushpmg00000063","Police Chief Tears Into Ted Cruz, McConnell For Caring More About NRA Than Gun Victims",5,65,"dec","11","True","True","True","True","True","True","7","7","7","6","6","6"
